p	trial_divisor	remainder
73	2	1
73	3	1
73	4	1
73	5	3
73	6	1
73	7	3
73	8	1
241441	2	1
241441	3	1
241441	4	1
241441	5	1
241441	6	1
241441	7	4
241441	8	1
241441	9	7
241441	10	1
241441	11	2
241441	12	1
241441	13	5
241441	14	11
241441	15	1
241441	16	1
241441	17	7
241441	18	7
241441	19	8
241441	20	1
241441	21	4
241441	22	13
241441	23	10
241441	24	1
241441	25	16
241441	26	5
241441	27	7
241441	28	25
241441	29	16
241441	30	1
241441	31	13
241441	32	1
241441	33	13
241441	34	7
241441	35	11
241441	36	25
241441	37	16
241441	38	27
241441	39	31
241441	40	1
241441	41	33
241441	42	25
241441	43	39
241441	44	13
241441	45	16
241441	46	33
241441	47	2
241441	48	1
241441	49	18
241441	50	41
241441	51	7
241441	52	5
241441	53	26
241441	54	7
241441	55	46
241441	56	25
241441	57	46
241441	58	45
241441	59	13
241441	60	1
241441	61	3
241441	62	13
241441	63	25
241441	64	33
241441	65	31
241441	66	13
241441	67	40
241441	68	41
241441	69	10
241441	70	11
241441	71	41
241441	72	25
241441	73	30
241441	74	53
241441	75	16
241441	76	65
241441	77	46
241441	78	31
241441	79	17
241441	80	1
241441	81	61
241441	82	33
241441	83	77
241441	84	25
241441	85	41
241441	86	39
241441	87	16
241441	88	57
241441	89	73
241441	90	61
241441	91	18
241441	92	33
241441	93	13
241441	94	49
241441	95	46
241441	96	1
241441	97	8
241441	98	67
241441	99	79
241441	100	41
241441	101	51
241441	102	7
241441	103	9
241441	104	57
241441	105	46
241441	106	79
241441	107	49
241441	108	61
241441	109	6
241441	110	101
241441	111	16
241441	112	81
241441	113	73
241441	114	103
241441	115	56
241441	116	45
241441	117	70
241441	118	13
241441	119	109
241441	120	1
241441	121	46
241441	122	3
241441	123	115
241441	124	13
241441	125	66
241441	126	25
241441	127	14
241441	128	33
241441	129	82
241441	130	31
241441	131	8
241441	132	13
241441	133	46
241441	134	107
241441	135	61
241441	136	41
241441	137	47
241441	138	79
241441	139	137
241441	140	81
241441	141	49
241441	142	41
241441	143	57
241441	144	97
241441	145	16
241441	146	103
241441	147	67
241441	148	53
241441	149	61
241441	150	91
241441	151	143
241441	152	65
241441	153	7
241441	154	123
241441	155	106
241441	156	109
241441	157	132
241441	158	17
241441	159	79
241441	160	1
241441	161	102
241441	162	61
241441	163	38
241441	164	33
241441	165	46
241441	166	77
241441	167	126
241441	168	25
241441	169	109
241441	170	41
241441	171	160
241441	172	125
241441	173	106
241441	174	103
241441	175	116
241441	176	145
241441	177	13
241441	178	73
241441	179	149
241441	180	61
241441	181	168
241441	182	109
241441	183	64
241441	184	33
241441	185	16
241441	186	13
241441	187	24
241441	188	49
241441	189	88
241441	190	141
241441	191	17
241441	192	97
241441	193	191
241441	194	105
241441	195	31
241441	196	165
241441	197	116
241441	198	79
241441	199	54
241441	200	41
241441	201	40
241441	202	51
241441	203	74
241441	204	109
241441	205	156
241441	206	9
241441	207	79
241441	208	161
241441	209	46
241441	210	151
241441	211	57
241441	212	185
241441	213	112
241441	214	49
241441	215	211
241441	216	169
241441	217	137
241441	218	115
241441	219	103
241441	220	101
241441	221	109
241441	222	127
241441	223	155
241441	224	193
241441	225	16
241441	226	73
241441	227	140
241441	228	217
241441	229	75
241441	230	171
241441	231	46
241441	232	161
241441	233	53
241441	234	187
241441	235	96
241441	236	13
241441	237	175
241441	238	109
241441	239	51
241441	240	1
241441	241	200
241441	242	167
241441	243	142
241441	244	125
241441	245	116
241441	246	115
241441	247	122
241441	248	137
241441	249	160
241441	250	191
241441	251	230
241441	252	25
241441	253	79
241441	254	141
241441	255	211
241441	256	33
241441	257	118
241441	258	211
241441	259	53
241441	260	161
241441	261	16
241441	262	139
241441	263	7
241441	264	145
241441	265	26
241441	266	179
241441	267	73
241441	268	241
241441	269	148
241441	270	61
241441	271	251
241441	272	177
241441	273	109
241441	274	47
241441	275	266
241441	276	217
241441	277	174
241441	278	137
241441	279	106
241441	280	81
241441	281	62
241441	282	49
241441	283	42
241441	284	41
241441	285	46
241441	286	57
241441	287	74
241441	288	97
241441	289	126
241441	290	161
241441	291	202
241441	292	249
241441	293	9
241441	294	67
241441	295	131
241441	296	201
241441	297	277
241441	298	61
241441	299	148
241441	300	241
241441	301	39
241441	302	143
241441	303	253
241441	304	65
241441	305	186
241441	306	7
241441	307	139
241441	308	277
241441	309	112
241441	310	261
241441	311	105
241441	312	265
241441	313	118
241441	314	289
241441	315	151
241441	316	17
241441	317	204
241441	318	79
241441	319	277
241441	320	161
241441	321	49
241441	322	263
241441	323	160
241441	324	61
241441	325	291
241441	326	201
241441	327	115
241441	328	33
241441	329	284
241441	330	211
241441	331	142
241441	332	77
241441	333	16
241441	334	293
241441	335	241
241441	336	193
241441	337	149
241441	338	109
241441	339	73
241441	340	41
241441	341	13
241441	342	331
241441	343	312
241441	344	297
241441	345	286
241441	346	279
